"idno","nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","hhmmb","gndr","agea","cntry","maritalb","chldhhe","domicil","eduyrs"
14780,60,1,NA,2,1,0,3,"Mujeres",59,"Bulgaria","Divorciado/a",NA,"Gran ciudad",11
14785,0,1,NA,0,4,0,2,"Varones",56,"Bulgaria","Divorciado/a","Con menores en el hogar","Gran ciudad",8
14792,60,1,NA,3,5,1,1,"Varones",68,"Bulgaria","Soltero/a","Sin menores en el hogar","Ciudad pequena",7
14805,390,5,150,0,10,5,2,"Mujeres",75,"Bulgaria","Casado/a","Con menores en el hogar","Ciudad pequena",14
14806,270,5,510,0,5,1,3,"Mujeres",45,"Bulgaria","Casado/a",NA,"Gran ciudad",15
14815,60,5,180,2,3,1,2,"Mujeres",45,"Bulgaria","Soltero/a","Con menores en el hogar","Gran ciudad",22
14817,30,5,45,0,1,5,4,"Mujeres",36,"Bulgaria","Casado/a","Sin menores en el hogar","Ciudad pequena",16
14822,50,1,NA,4,0,0,2,"Varones",NA,"Bulgaria","Casado/a","Con menores en el hogar","Ciudad pequena",10
14824,90,5,30,6,7,8,1,"Varones",69,"Bulgaria","Casado/a","Con menores en el hogar","Ciudad pequena",17
14829,60,1,NA,2,2,2,1,"Mujeres",82,"Bulgaria","Viudo/a","Con menores en el hogar","Gran ciudad",8
14834,240,5,480,0,5,5,2,"Varones",42,"Bulgaria","Soltero/a","Sin menores en el hogar","Gran ciudad",8
14837,60,5,120,3,4,1,3,"Varones",49,"Bulgaria","Casado/a",NA,"Ciudad pequena",12
14838,260,2,NA,6,6,7,2,"Mujeres",72,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",11
14843,90,1,NA,4,5,3,2,"Mujeres",71,"Bulgaria","Casado/a","Con menores en el hogar","Pueblo rural",12
14844,60,5,240,4,4,2,2,"Mujeres",67,"Bulgaria","Viudo/a","Con menores en el hogar","Gran ciudad",12
14851,120,5,30,0,4,4,3,"Mujeres",31,"Bulgaria","Soltero/a",NA,"Gran ciudad",16
14854,60,5,330,3,3,0,1,"Mujeres",69,"Bulgaria","Soltero/a","Sin menores en el hogar","Gran ciudad",17
14860,90,5,60,1,1,2,2,"Varones",64,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",11
14864,60,5,90,2,2,1,2,"Mujeres",57,"Bulgaria","Divorciado/a","Con menores en el hogar","Pueblo rural",11
14867,30,1,NA,10,10,6,5,"Mujeres",67,"Bulgaria","Viudo/a",NA,"Gran ciudad",4
14872,60,5,330,5,6,4,2,"Mujeres",64,"Bulgaria","Casado/a","Con menores en el hogar","Pueblo rural",12
14880,360,1,NA,2,3,2,7,"Mujeres",67,"Bulgaria","Casado/a",NA,"Ciudad pequena",11
14883,150,1,NA,1,1,1,1,"Varones",63,"Bulgaria","Viudo/a","Con menores en el hogar","Pueblo rural",7
14898,30,1,NA,8,7,7,2,"Mujeres",73,"Bulgaria","Casado/a","Con menores en el hogar","Pueblo rural",8
14907,0,5,NA,8,6,6,3,"Varones",18,"Bulgaria","Soltero/a","Sin menores en el hogar","Gran ciudad",10
14914,120,5,300,0,3,1,1,"Mujeres",53,"Bulgaria","Divorciado/a","Con menores en el hogar","Gran ciudad",15
14940,35,5,160,5,7,2,2,"Mujeres",46,"Bulgaria","Casado/a","Con menores en el hogar","Ciudad pequena",18
14946,40,5,50,5,1,4,3,"Mujeres",45,"Bulgaria","Soltero/a",NA,"Pueblo rural",11
14957,20,5,300,2,3,1,7,"Mujeres",15,"Bulgaria","Soltero/a","Sin menores en el hogar","Pueblo rural",8
14962,30,5,330,1,1,2,2,"Mujeres",59,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",10
14975,180,5,180,0,2,0,4,"Mujeres",20,"Bulgaria","Soltero/a","Sin menores en el hogar","Pueblo rural",12
14999,300,1,NA,3,0,2,1,"Varones",79,"Bulgaria","Viudo/a","Sin menores en el hogar","Pueblo rural",11
15008,30,1,NA,3,4,2,1,"Mujeres",78,"Bulgaria","Viudo/a","Con menores en el hogar","Pueblo rural",7
15020,NA,1,NA,3,4,4,2,"Varones",71,"Bulgaria","Casado/a","Con menores en el hogar","Pueblo rural",10
15021,240,5,60,0,0,0,2,"Mujeres",57,"Bulgaria","Casado/a","Con menores en el hogar","Ciudad pequena",18
15034,0,1,NA,2,2,1,1,"Mujeres",62,"Bulgaria","Viudo/a","Con menores en el hogar","Pueblo rural",11
15044,30,5,210,5,5,5,3,"Varones",16,"Bulgaria","Soltero/a","Sin menores en el hogar","Ciudad pequena",9
15051,0,5,480,1,1,0,2,"Mujeres",31,"Bulgaria","Divorciado/a",NA,"Afueras de una gran ciudad",13
15059,120,1,NA,3,3,0,1,"Mujeres",72,"Bulgaria","Viudo/a","Con menores en el hogar","Pueblo rural",7
15063,20,5,720,0,0,0,3,"Varones",17,"Bulgaria","Soltero/a","Sin menores en el hogar","Pueblo rural",10
15078,60,1,NA,0,0,0,3,"Varones",63,"Bulgaria","Casado/a",NA,"Pueblo rural",7
15080,60,5,150,5,5,5,2,"Varones",70,"Bulgaria","Casado/a","Con menores en el hogar","Pueblo rural",17
15086,330,1,NA,1,0,0,1,"Mujeres",NA,"Bulgaria","Viudo/a","Con menores en el hogar","Ciudad pequena",8
15087,60,5,60,3,3,3,4,"Mujeres",38,"Bulgaria","Casado/a",NA,"Ciudad pequena",11
15106,NA,1,NA,5,NA,2,2,"Mujeres",67,"Bulgaria","Casado/a","Con menores en el hogar","Pueblo rural",6
15108,240,1,NA,0,2,5,1,"Mujeres",89,"Bulgaria","Viudo/a","Con menores en el hogar","Gran ciudad",10
15109,90,5,600,2,2,2,6,"Mujeres",32,"Bulgaria","Soltero/a",NA,"Ciudad pequena",12
15115,60,5,180,2,2,1,4,"Varones",47,"Bulgaria","Casado/a",NA,"Ciudad pequena",12
15129,60,4,90,7,8,6,2,"Varones",60,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",11
15135,NA,1,NA,7,6,4,1,"Mujeres",80,"Bulgaria","Viudo/a","Con menores en el hogar","Pueblo rural",8
15144,30,5,120,3,3,0,3,"Varones",35,"Bulgaria","Casado/a",NA,"Gran ciudad",17
15151,60,5,192,5,5,8,2,"Mujeres",56,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",15
15163,270,3,NA,4,5,4,2,"Varones",63,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",16
15164,30,5,180,8,7,5,3,"Varones",17,"Bulgaria","Soltero/a","Sin menores en el hogar","Pueblo rural",11
15165,10,5,NA,5,5,4,2,"Varones",35,"Bulgaria","Soltero/a","Sin menores en el hogar","Gran ciudad",12
15166,15,5,900,6,4,0,1,"Varones",27,"Bulgaria","Soltero/a","Sin menores en el hogar","Gran ciudad",18
15169,90,5,180,5,3,3,2,"Varones",48,"Bulgaria","Casado/a","Sin menores en el hogar","Gran ciudad",11
15196,390,1,NA,10,10,0,1,"Varones",36,"Bulgaria","Soltero/a","Sin menores en el hogar","Pueblo rural",11
15208,10,5,180,2,2,0,5,"Varones",52,"Bulgaria","Soltero/a",NA,"Pueblo rural",11
15217,60,1,NA,5,4,6,1,"Mujeres",70,"Bulgaria","Viudo/a","Con menores en el hogar","Ciudad pequena",11
15218,90,1,NA,8,8,3,1,"Varones",86,"Bulgaria","Viudo/a","Con menores en el hogar","Ciudad pequena",11
15225,150,2,NA,0,3,2,6,"Varones",78,"Bulgaria","Casado/a",NA,"Pueblo rural",11
15226,60,5,120,3,3,3,2,"Mujeres",54,"Bulgaria","Casado/a","Con menores en el hogar","Ciudad pequena",16
15227,180,5,300,2,2,2,2,"Varones",19,"Bulgaria","Soltero/a","Sin menores en el hogar","Gran ciudad",12
15235,150,2,NA,3,3,2,2,"Varones",68,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",11
15255,NA,1,NA,5,5,5,1,"Mujeres",82,"Bulgaria","Viudo/a","Con menores en el hogar","Gran ciudad",7
15256,30,5,75,4,4,4,2,"Varones",63,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",12
15257,30,5,360,0,0,0,7,"Mujeres",23,"Bulgaria","Soltero/a","Sin menores en el hogar","Pueblo rural",12
15261,0,5,90,5,5,5,2,"Mujeres",51,"Bulgaria","Casado/a","Con menores en el hogar","Ciudad pequena",20
15262,30,5,240,5,5,3,2,"Mujeres",49,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",11
15272,30,5,120,3,2,1,2,"Varones",56,"Bulgaria","Casado/a","Con menores en el hogar","Ciudad pequena",11
15273,150,1,NA,1,2,2,1,"Varones",84,"Bulgaria","Viudo/a","Con menores en el hogar","Gran ciudad",12
15276,80,3,NA,4,5,7,2,"Varones",38,"Bulgaria","Soltero/a","Sin menores en el hogar","Gran ciudad",16
15278,30,5,20,6,6,1,1,"Varones",55,"Bulgaria","Viudo/a","Con menores en el hogar","Gran ciudad",12
15293,120,5,120,5,2,0,2,"Varones",36,"Bulgaria","Soltero/a","Sin menores en el hogar","Gran ciudad",24
15294,90,5,60,4,5,3,4,"Varones",43,"Bulgaria","Casado/a",NA,"Gran ciudad",12
15296,30,5,180,0,5,3,4,"Varones",20,"Bulgaria","Soltero/a","Sin menores en el hogar","Pueblo rural",12
15307,30,2,NA,0,3,0,3,"Mujeres",35,"Bulgaria","Soltero/a",NA,"Ciudad pequena",11
15324,0,5,360,5,4,4,4,"Varones",16,"Bulgaria","Soltero/a","Sin menores en el hogar","Gran ciudad",9
15334,40,5,600,0,0,0,2,"Varones",47,"Bulgaria","Casado/a","Sin menores en el hogar","Gran ciudad",15
15335,70,5,60,6,7,7,3,"Mujeres",47,"Bulgaria","Casado/a",NA,"Gran ciudad",12
15340,60,5,180,6,7,4,2,"Mujeres",72,"Bulgaria","Casado/a","Con menores en el hogar","Ciudad pequena",14
15351,60,5,120,0,4,0,4,"Varones",44,"Bulgaria","Soltero/a","Sin menores en el hogar","Gran ciudad",12
15352,120,5,240,3,2,2,2,"Varones",60,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",15
15355,30,1,NA,5,5,5,2,"Varones",45,"Bulgaria","Casado/a","Sin menores en el hogar","Pueblo rural",11
15357,30,5,600,2,3,2,1,"Varones",56,"Bulgaria","Divorciado/a","Con menores en el hogar","Gran ciudad",12
15358,15,1,NA,2,3,3,1,"Mujeres",76,"Bulgaria","Viudo/a","Con menores en el hogar","Gran ciudad",12
15360,30,5,270,6,7,5,1,"Mujeres",26,"Bulgaria","Soltero/a","Sin menores en el hogar","Gran ciudad",12
15362,720,5,180,0,0,2,2,"Varones",60,"Bulgaria","Divorciado/a","Con menores en el hogar","Ciudad pequena",17
15381,120,5,150,6,4,3,4,"Mujeres",47,"Bulgaria","Casado/a",NA,"Pueblo rural",17
15388,248,1,NA,7,6,6,1,"Varones",52,"Bulgaria","Soltero/a","Sin menores en el hogar","Pueblo rural",11
15392,90,2,NA,5,3,3,4,"Varones",57,"Bulgaria","Soltero/a",NA,"Pueblo rural",11
15408,20,5,360,5,5,5,2,"Mujeres",36,"Bulgaria","Soltero/a",NA,"Gran ciudad",12
15411,0,5,NA,4,4,5,3,"Varones",17,"Bulgaria","Soltero/a","Sin menores en el hogar","Ciudad pequena",10
15415,180,1,NA,4,6,3,3,"Varones",75,"Bulgaria","Casado/a",NA,"Ciudad pequena",12
15422,120,1,NA,8,8,8,2,"Mujeres",69,"Bulgaria","Casado/a","Con menores en el hogar","Pueblo rural",5
15424,60,1,NA,1,2,0,3,"Mujeres",86,"Bulgaria","Viudo/a",NA,"Pueblo rural",4
15437,180,5,180,4,4,4,2,"Mujeres",57,"Bulgaria","Casado/a","Con menores en el hogar","Ciudad pequena",17
15443,30,5,270,0,1,0,4,"Varones",22,"Bulgaria","Soltero/a","Sin menores en el hogar","Pueblo rural",10
15444,60,5,180,4,8,4,2,"Mujeres",60,"Bulgaria","Casado/a","Sin menores en el hogar","Ciudad pequena",13
15447,60,5,60,4,4,2,3,"Mujeres",71,"Bulgaria","Casado/a",NA,"Pueblo rural",16
15452,NA,4,NA,4,4,4,3,"Varones",65,"Bulgaria","Soltero/a",NA,"Ciudad pequena",11
15459,30,5,540,3,3,3,4,"Mujeres",46,"Bulgaria","Casado/a","Sin menores en el hogar","Pueblo rural",16
15461,15,5,90,5,5,7,2,"Mujeres",60,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",16
15466,390,5,70,5,3,2,2,"Mujeres",61,"Bulgaria","Casado/a","Sin menores en el hogar","Gran ciudad",11
15472,90,1,NA,0,0,0,2,"Varones",67,"Bulgaria","Casado/a","Sin menores en el hogar","Ciudad pequena",18
15479,90,5,210,3,2,0,1,"Mujeres",54,"Bulgaria","Divorciado/a","Con menores en el hogar","Gran ciudad",18
15481,60,5,150,7,7,6,3,"Varones",42,"Bulgaria","Casado/a",NA,"Pueblo rural",12
15500,30,5,50,0,1,0,6,"Mujeres",52,"Bulgaria","Casado/a",NA,"Pueblo rural",12
15502,15,5,120,4,5,3,3,"Varones",34,"Bulgaria","Soltero/a","Sin menores en el hogar","Ciudad pequena",12
15508,60,1,NA,3,4,4,2,"Varones",68,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",11
15525,180,5,60,4,6,3,2,"Varones",77,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",11
15535,40,5,420,7,8,8,2,"Varones",38,"Bulgaria","Divorciado/a","Con menores en el hogar","Gran ciudad",16
15536,40,3,NA,0,0,0,1,"Mujeres",52,"Bulgaria","Divorciado/a","Con menores en el hogar","Pueblo rural",4
15539,60,5,120,2,5,3,3,"Varones",51,"Bulgaria","Soltero/a",NA,"Ciudad pequena",12
15542,20,5,180,10,10,8,3,"Mujeres",47,"Bulgaria","Divorciado/a",NA,"Gran ciudad",16
15545,60,5,60,5,5,6,3,"Varones",56,"Bulgaria","Casado/a",NA,"Ciudad pequena",11
15550,40,5,90,3,5,2,4,"Varones",43,"Bulgaria","Casado/a",NA,"Gran ciudad",16
15561,60,5,120,0,0,4,2,"Varones",60,"Bulgaria","Divorciado/a","Con menores en el hogar","Gran ciudad",11
15568,120,5,360,7,7,5,4,"Varones",35,"Bulgaria","Casado/a",NA,"Ciudad pequena",16
15575,0,5,840,5,5,5,2,"Varones",20,"Bulgaria","Soltero/a","Sin menores en el hogar","Gran ciudad",13
15582,0,5,600,5,0,4,2,"Mujeres",NA,"Bulgaria","Soltero/a","Sin menores en el hogar","Gran ciudad",16
15594,90,5,360,5,7,3,4,"Varones",35,"Bulgaria","Casado/a",NA,"Ciudad pequena",17
15595,120,5,120,0,0,0,4,"Mujeres",41,"Bulgaria","Divorciado/a",NA,"Gran ciudad",13
15603,30,5,120,2,0,0,3,"Varones",28,"Bulgaria","Soltero/a","Sin menores en el hogar","Pueblo rural",15
15604,270,5,375,0,6,3,3,"Mujeres",34,"Bulgaria","Soltero/a",NA,"Gran ciudad",12
15605,120,1,NA,2,3,3,2,"Varones",87,"Bulgaria","Casado/a","Con menores en el hogar","Pueblo rural",4
15612,60,1,NA,0,5,0,3,"Varones",67,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",12
15614,60,3,NA,0,0,0,2,"Mujeres",63,"Bulgaria","Divorciado/a",NA,"Ciudad pequena",12
15619,NA,1,NA,4,4,4,1,"Mujeres",68,"Bulgaria","Viudo/a","Con menores en el hogar","Ciudad pequena",11
15626,0,5,210,7,5,6,2,"Varones",19,"Bulgaria","Soltero/a","Sin menores en el hogar","Pueblo rural",11
15628,0,5,120,4,6,7,3,"Mujeres",24,"Bulgaria","Casado/a",NA,"Gran ciudad",8
15632,360,1,NA,1,2,1,1,"Varones",75,"Bulgaria","Viudo/a","Con menores en el hogar","Pueblo rural",12
15633,30,5,30,0,2,0,2,"Mujeres",49,"Bulgaria","Casado/a","Con menores en el hogar","Ciudad pequena",11
15645,60,1,NA,7,7,8,1,"Mujeres",67,"Bulgaria","Viudo/a","Con menores en el hogar","Pueblo rural",11
15646,210,5,270,5,5,5,2,"Mujeres",66,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",17
15649,60,1,NA,0,0,0,1,"Varones",82,"Bulgaria","Viudo/a","Con menores en el hogar","Pueblo rural",11
15653,30,5,120,5,5,5,3,"Varones",37,"Bulgaria","Soltero/a","Sin menores en el hogar","Ciudad pequena",12
15656,120,5,120,3,7,3,1,"Varones",42,"Bulgaria","Divorciado/a","Con menores en el hogar","Ciudad pequena",16
15657,60,1,NA,4,4,4,2,"Varones",65,"Bulgaria","Viudo/a",NA,"Ciudad pequena",10
15659,90,1,NA,4,3,2,1,"Mujeres",69,"Bulgaria","Viudo/a","Con menores en el hogar","Gran ciudad",12
15661,0,1,NA,7,3,2,1,"Mujeres",90,"Bulgaria","Viudo/a","Con menores en el hogar","Pueblo rural",4
15666,240,5,30,6,4,7,2,"Varones",73,"Bulgaria","Divorciado/a","Con menores en el hogar","Pueblo rural",8
15667,10,5,60,NA,0,3,3,"Mujeres",61,"Bulgaria","Viudo/a",NA,"Ciudad pequena",16
15675,180,2,NA,5,5,5,1,"Mujeres",86,"Bulgaria","Divorciado/a","Con menores en el hogar","Ciudad pequena",11
15682,240,1,NA,3,1,2,1,"Mujeres",85,"Bulgaria","Viudo/a","Con menores en el hogar","Pueblo rural",8
15688,120,3,NA,2,3,2,2,"Mujeres",62,"Bulgaria","Casado/a","Con menores en el hogar","Ciudad pequena",11
15702,180,5,150,4,5,2,2,"Varones",77,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",18
15703,30,5,360,2,3,0,1,"Varones",25,"Bulgaria","Soltero/a","Sin menores en el hogar","Gran ciudad",18
15710,60,5,60,8,7,6,3,"Varones",57,"Bulgaria","Casado/a",NA,"Gran ciudad",11
15719,15,5,240,4,5,3,3,"Varones",24,"Bulgaria","Soltero/a","Sin menores en el hogar","Gran ciudad",12
15733,450,1,NA,5,3,2,2,"Mujeres",71,"Bulgaria","Viudo/a","Con menores en el hogar","Ciudad pequena",8
15741,30,1,NA,5,3,2,1,"Varones",75,"Bulgaria","Viudo/a","Con menores en el hogar","Gran ciudad",12
15747,120,5,420,5,5,4,1,"Varones",49,"Bulgaria","Soltero/a","Sin menores en el hogar","Ciudad pequena",17
15750,0,5,330,4,4,4,4,"Varones",32,"Bulgaria","Soltero/a","Sin menores en el hogar","Pueblo rural",12
15769,20,5,480,7,5,3,1,"Mujeres",29,"Bulgaria","Soltero/a","Sin menores en el hogar","Gran ciudad",16
15771,30,5,540,2,3,3,3,"Mujeres",43,"Bulgaria","Casado/a",NA,"Gran ciudad",17
15778,240,1,NA,4,4,5,3,"Mujeres",64,"Bulgaria","Casado/a",NA,"Pueblo rural",12
15780,NA,5,150,7,7,4,3,"Mujeres",68,"Bulgaria","Casado/a",NA,"Pueblo rural",18
15783,30,5,180,0,10,10,1,"Varones",29,"Bulgaria","Soltero/a","Sin menores en el hogar","Gran ciudad",17
15801,20,5,300,0,1,0,1,"Mujeres",53,"Bulgaria","Soltero/a","Sin menores en el hogar","Ciudad pequena",8
15816,120,1,NA,0,4,7,2,"Varones",27,"Bulgaria","Soltero/a","Sin menores en el hogar","Gran ciudad",17
15817,240,5,120,2,3,0,2,"Varones",73,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",16
15820,60,5,300,7,3,7,3,"Varones",27,"Bulgaria","Soltero/a",NA,"Ciudad pequena",17
15824,30,1,NA,6,5,3,1,"Mujeres",80,"Bulgaria","Viudo/a","Con menores en el hogar","Pueblo rural",4
15834,120,2,NA,1,2,2,6,"Mujeres",53,"Bulgaria","Casado/a",NA,"Pueblo rural",12
15836,60,3,NA,1,6,2,2,"Varones",85,"Bulgaria","Casado/a","Con menores en el hogar","Pueblo rural",7
15842,180,3,NA,3,3,2,2,"Varones",61,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",13
15856,30,5,180,5,6,3,3,"Mujeres",41,"Bulgaria","Casado/a",NA,"Gran ciudad",12
15857,60,5,60,6,6,6,2,"Mujeres",40,"Bulgaria","Divorciado/a","Con menores en el hogar","Pueblo rural",11
15860,150,1,NA,7,5,1,1,"Mujeres",74,"Bulgaria","Soltero/a","Sin menores en el hogar","Gran ciudad",11
15867,90,2,NA,5,3,3,3,"Mujeres",61,"Bulgaria","Casado/a",NA,"Gran ciudad",11
15868,NA,5,300,2,3,3,3,"Mujeres",61,"Bulgaria","Viudo/a",NA,"Pueblo rural",19
15870,30,5,60,2,6,1,2,"Varones",57,"Bulgaria","Casado/a","Con menores en el hogar","Ciudad pequena",12
15876,140,5,260,8,7,6,3,"Varones",25,"Bulgaria","Soltero/a","Sin menores en el hogar","Pueblo rural",16
15891,30,1,NA,2,2,1,1,"Mujeres",79,"Bulgaria","Casado/a","Con menores en el hogar","Pueblo rural",11
15910,40,5,300,5,5,5,1,"Mujeres",56,"Bulgaria","Viudo/a","Con menores en el hogar","Ciudad pequena",16
15916,240,5,150,4,5,3,5,"Varones",65,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",17
15925,130,1,NA,2,5,5,2,"Mujeres",72,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",16
15927,40,5,180,5,5,5,2,"Mujeres",65,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",11
15945,30,5,90,4,4,6,4,"Mujeres",40,"Bulgaria","Casado/a",NA,"Ciudad pequena",12
15946,120,5,270,4,4,4,2,"Varones",61,"Bulgaria","Casado/a","Con menores en el hogar","Ciudad pequena",12
15949,30,1,NA,9,7,1,2,"Varones",72,"Bulgaria","Casado/a","Con menores en el hogar","Ciudad pequena",11
15957,60,5,600,3,3,2,1,"Mujeres",31,"Bulgaria","Soltero/a","Sin menores en el hogar","Gran ciudad",16
15959,30,1,NA,4,6,4,2,"Varones",59,"Bulgaria","Divorciado/a",NA,"Ciudad pequena",11
15961,0,5,240,4,5,3,2,"Varones",53,"Bulgaria","Casado/a","Sin menores en el hogar","Gran ciudad",11
15970,120,5,120,7,7,7,3,"Varones",66,"Bulgaria","Casado/a","Sin menores en el hogar","Pueblo rural",13
15972,425,4,430,2,7,7,2,"Mujeres",53,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",16
15977,25,1,NA,8,9,6,4,"Mujeres",66,"Bulgaria","Viudo/a",NA,"Afueras de una gran ciudad",11
15978,30,5,120,0,2,1,2,"Varones",49,"Bulgaria","Soltero/a","Sin menores en el hogar","Pueblo rural",11
15982,60,1,NA,4,6,4,1,"Mujeres",82,"Bulgaria","Viudo/a","Con menores en el hogar","Ciudad pequena",10
15986,600,1,NA,5,5,5,1,"Mujeres",58,"Bulgaria","Divorciado/a","Con menores en el hogar","Pueblo rural",8
15992,20,5,150,2,2,0,1,"Varones",75,"Bulgaria","Viudo/a","Con menores en el hogar","Pueblo rural",7
15994,40,5,300,4,5,3,4,"Varones",49,"Bulgaria","Casado/a",NA,"Gran ciudad",10
15996,60,5,240,5,3,2,5,"Varones",36,"Bulgaria","Casado/a",NA,"Pueblo rural",12
15998,NA,3,NA,6,5,7,3,"Mujeres",26,"Bulgaria","Soltero/a",NA,"Ciudad pequena",11
16005,90,5,150,4,4,3,3,"Varones",55,"Bulgaria","Casado/a",NA,"Gran ciudad",17
16006,120,1,NA,0,3,10,2,"Mujeres",74,"Bulgaria","Casado/a","Con menores en el hogar","Pueblo rural",12
16011,30,1,NA,3,5,7,2,"Varones",76,"Bulgaria","Casado/a","Con menores en el hogar","Ciudad pequena",12
16015,120,4,150,2,4,4,2,"Mujeres",66,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",16
16030,180,1,NA,10,10,NA,5,"Varones",69,"Bulgaria","Viudo/a",NA,"Pueblo rural",8
16035,20,5,720,2,5,0,4,"Mujeres",46,"Bulgaria","Casado/a",NA,"Gran ciudad",17
16040,60,1,NA,2,1,0,3,"Varones",57,"Bulgaria","Casado/a",NA,"Ciudad pequena",11
16055,0,5,90,5,10,2,4,"Mujeres",45,"Bulgaria","Soltero/a",NA,"Pueblo rural",8
16058,60,5,60,2,4,1,3,"Mujeres",45,"Bulgaria","Divorciado/a",NA,"Gran ciudad",11
16068,30,1,NA,2,2,1,2,"Varones",62,"Bulgaria","Soltero/a","Sin menores en el hogar","Gran ciudad",12
16072,30,5,30,0,1,2,2,"Mujeres",64,"Bulgaria","Casado/a","Con menores en el hogar","Ciudad pequena",12
16074,30,5,180,0,1,0,2,"Varones",45,"Bulgaria","Soltero/a","Sin menores en el hogar","Gran ciudad",18
16076,150,5,50,5,5,5,2,"Mujeres",49,"Bulgaria","Casado/a","Con menores en el hogar","Ciudad pequena",16
16080,30,5,270,0,0,0,1,"Mujeres",20,"Bulgaria","Soltero/a","Sin menores en el hogar","Ciudad pequena",8
16096,600,1,NA,0,0,0,1,"Varones",77,"Bulgaria","Viudo/a","Con menores en el hogar","Ciudad pequena",12
16097,30,4,90,3,4,2,2,"Mujeres",61,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",14
16100,120,5,300,0,0,0,2,"Mujeres",16,"Bulgaria","Soltero/a","Sin menores en el hogar","Pueblo rural",9
16122,180,1,NA,2,5,0,1,"Mujeres",86,"Bulgaria","Viudo/a","Con menores en el hogar","Afueras de una gran ciudad",12
16128,20,5,180,1,2,0,1,"Varones",37,"Bulgaria","Soltero/a","Sin menores en el hogar","Gran ciudad",12
16131,10,5,600,1,2,9,3,"Mujeres",54,"Bulgaria","Casado/a",NA,"Gran ciudad",18
16137,240,1,NA,2,1,3,2,"Varones",71,"Bulgaria","Casado/a","Con menores en el hogar","Pueblo rural",NA
16141,180,1,NA,10,10,10,5,"Mujeres",NA,"Bulgaria","Viudo/a",NA,"Gran ciudad",16
16148,5,1,NA,5,7,0,2,"Mujeres",58,"Bulgaria","Casado/a","Con menores en el hogar","Pueblo rural",11
16152,120,4,45,5,6,3,3,"Varones",50,"Bulgaria","Casado/a",NA,"Gran ciudad",12
16156,60,5,90,5,5,5,3,"Varones",71,"Bulgaria","Casado/a","Con menores en el hogar","Ciudad pequena",11
16189,30,5,240,8,6,6,3,"Mujeres",16,"Bulgaria","Soltero/a","Sin menores en el hogar","Ciudad pequena",9
16196,30,5,480,3,3,3,3,"Varones",46,"Bulgaria","Soltero/a",NA,"Gran ciudad",15
16197,90,5,240,1,4,4,4,"Mujeres",42,"Bulgaria","Casado/a",NA,"Gran ciudad",11
16198,90,4,180,3,3,4,6,"Varones",31,"Bulgaria","Casado/a",NA,"Pueblo rural",14
16206,190,1,NA,4,3,1,1,"Mujeres",78,"Bulgaria","Casado/a","Con menores en el hogar","Ciudad pequena",19
16211,60,5,180,4,5,4,2,"Mujeres",56,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",16
16226,NA,2,NA,4,4,3,2,"Mujeres",19,"Bulgaria","Soltero/a","Sin menores en el hogar","Ciudad pequena",7
16232,150,1,NA,5,5,2,2,"Varones",71,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",11
16234,130,1,NA,4,5,3,1,"Mujeres",74,"Bulgaria","Viudo/a","Con menores en el hogar","Gran ciudad",13
16236,100,1,NA,4,5,4,2,"Varones",77,"Bulgaria","Casado/a","Con menores en el hogar","Gran ciudad",13
16241,30,4,60,7,5,4,4,"Mujeres",45,"Bulgaria","Casado/a",NA,"Gran ciudad",11
16255,60,5,300,0,5,3,3,"Mujeres",39,"Bulgaria","Soltero/a",NA,"Gran ciudad",18
16258,0,1,NA,0,5,0,1,"Mujeres",68,"Bulgaria","Viudo/a","Con menores en el hogar","Afueras de una gran ciudad",8
16259,20,5,180,8,8,8,4,"Mujeres",50,"Bulgaria","Casado/a",NA,"Gran ciudad",11
16278,30,2,NA,2,7,7,3,"Mujeres",53,"Bulgaria","Casado/a","Con menores en el hogar","Pueblo rural",11
